"context","eps","threshold","eligible_mixed","frac_mixed","eligible_simpson","frac_simpson"
"PAM50",0,0,1000000,0.752859,719199,0.171137612816481
"PAM50",0,0.05,992713,0.75197766121729,550218,0.113553173469425
"PAM50",0,0.1,915293,0.74293586862349,388943,0.0823462563923248
"PAM50",0,0.2,506655,0.684286151325853,164466,0.0482166526820133
"PAM50",0,0.3,176246,0.580347922789737,61412,0.0271770989383182
"PAM50",0.05,0,1000000,0.520667,831980,0.187707637202817
"PAM50",0.05,0.05,992713,0.524488950985834,621657,0.127324231851326
"PAM50",0.05,0.1,915293,0.535591335233636,430176,0.0937685970393513
"PAM50",0.05,0.2,506655,0.505859016490511,176300,0.0552750992626205
"PAM50",0.05,0.3,176246,0.419527251682308,64281,0.0316734338295919
"PAM50",0.1,0,1000000,0.270796,776515,0.187599724409702
"PAM50",0.1,0.05,992713,0.272783775371129,588128,0.124993198759454
"PAM50",0.1,0.1,915293,0.295857173604518,413333,0.0894484592326284
"PAM50",0.1,0.2,506655,0.323042306895225,171967,0.0504166497060483
"PAM50",0.1,0.3,176246,0.269203272698388,63161,0.0271844967622425
"IHC",0,0,1000000,0.566185,1000000,0.167817
"IHC",0,0.05,978711,0.562300822203899,727239,0.0961059569137519
"IHC",0,0.1,861526,0.540286654146247,495203,0.0533518577229944
"IHC",0,0.2,447619,0.438437599833787,201210,0.0130609810645594
"IHC",0,0.3,157299,0.29935981792637,73631,0.00195569800763265
"IHC",0.05,0,1000000,0.326156,833507,0.107913910741002
"IHC",0.05,0.05,978711,0.333250571414851,648936,0.0487675209882022
"IHC",0.05,0.1,861526,0.342011732669705,462729,0.0218983465484117
"IHC",0.05,0.2,447619,0.286288115562566,197400,0.00350557244174265
"IHC",0.05,0.3,157299,0.18819572915276,73410,0.000381419425146438
"IHC",0.1,0,1000000,0.140509,763540,0.108251041202818
"IHC",0.1,0.05,978711,0.143565363013188,607709,0.0447418089908163
"IHC",0.1,0.1,861526,0.16309316259753,448455,0.0175067732548416
"IHC",0.1,0.2,447619,0.163699485499945,196055,0.00188722552345005
"IHC",0.1,0.3,157299,0.106701250484746,73353,6.81635379602743e-05
