"eps","threshold","min_k","min_n_per_cohort","domain_pairs","eligible_mixed","frac_mixed","eligible_simpson","frac_simpson"
0,0,10,20,1e+06,1000000,0.998042,996459,0.313696800370111
0,0.05,10,20,1e+06,1000000,0.998042,759199,0.268247192106417
0,0.1,10,20,1e+06,999998,0.998041996083992,546565,0.22429903122227
0,0.2,10,20,1e+06,996002,0.998034140493694,249192,0.149117949211853
0,0.3,10,20,1e+06,931051,0.997898074326755,99549,0.0998603702699173
0.05,0,10,20,1e+06,1000000,0.994775,960136,0.303777798145263
0.05,0.05,10,20,1e+06,1000000,0.994775,733381,0.256246071278094
0.05,0.1,10,20,1e+06,999998,0.994774989549979,529828,0.209930392504737
0.05,0.2,10,20,1e+06,996002,0.994761054696677,243648,0.132654485158918
0.05,0.3,10,20,1e+06,931051,0.994419210118458,98034,0.0848991166330049
0.1,0,10,20,1e+06,1000000,0.981625,950169,0.302808237271475
0.1,0.05,10,20,1e+06,1000000,0.981625,726406,0.254893269053394
0.1,0.1,10,20,1e+06,999998,0.981626963253927,525432,0.207252318092541
0.1,0.2,10,20,1e+06,996002,0.981751040660561,242332,0.127123120347292
0.1,0.3,10,20,1e+06,931051,0.981411329776779,97657,0.077690283338624
